city_name,population,country_code,timezone,latitude,longitude
Mandimba,118922,MZ,Africa/Maputo,-14.3525,35.65056
Mandoli,120417,IN,Asia/Kolkata,28.70275,77.30995
Mandsaur,124988,IN,Asia/Kolkata,24.07184,75.06986
Mandurah,107641,AU,Australia/Perth,-32.5269,115.7217
Mandya,134845,IN,Asia/Kolkata,12.5223,76.89746
Manfalūţ,117925,EG,Africa/Cairo,27.3126,30.96987
Mangalagiri,107197,IN,Asia/Kolkata,16.43083,80.56815
Mangalore,417387,IN,Asia/Kolkata,12.91723,74.85603
Manhattan,1487536,US,America/New_York,40.78343,-73.96625
Manila,1600000,PH,Asia/Manila,14.6042,120.9822
Manisa,243971,TR,Europe/Istanbul,38.61202,27.42647
Manizales,434403,CO,America/Bogota,5.06889,-75.51738
Mannheim,307960,DE,Europe/Berlin,49.4891,8.46694
Manokwari,107325,ID,Asia/Jayapura,-0.86291,134.06402
Manp'o,116760,KP,Asia/Pyongyang,41.15472,126.28944
Mansa,170965,ZM,Africa/Lusaka,-11.19976,28.89431
Mansfield,171958,GB,Europe/London,53.13333,-1.2
Mansilingan,454150,PH,Asia/Manila,10.63111,122.97889
Manta,264281,EC,America/Guayaquil,-0.94937,-80.73137
Mantampay,265032,PH,Asia/Manila,8.16667,124.21667
Mantilla,206918,CU,America/Havana,23.06794,-82.34143
Manukau City,362000,NZ,Pacific/Auckland,-36.99282,174.87986
Manzanillo,128188,CU,America/Havana,20.34173,-77.12126
Manzanillo,159853,MX,America/Mexico_City,19.11695,-104.34214
Manzini,110537,SZ,Africa/Mbabane,-26.49884,31.38004
Manéah,194297,GN,Africa/Conakry,9.73333,-13.41667
Maoming,1307802,CN,Asia/Shanghai,21.66625,110.91364
Maputo,1254837,MZ,Africa/Maputo,-25.96553,32.58322
Mar del Plata,593337,AR,America/Argentina/Buenos_Aires,-38.00042,-57.5562
Mar'ino,243000,RU,Europe/Moscow,55.65,37.71667
Marabá,145860,BR,America/Belem,-5.38146,-49.13232
